"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Feb-2021","EQ","72.45","74.45","71.95","72.15","72.30","72.30","73.17","84.90","28.65",374575,"27,407,321.55",3218
"02-Feb-2021","EQ","73.85","75.00","71.85","73.40","72.00","72.15","73.74","84.90","28.65",448328,"33,061,259.35",3130
"01-Feb-2021","EQ","71.65","75.00","70.15","71.45","73.60","73.40","72.42","84.90","28.65",253898,"18,387,225.50",1864
"29-Jan-2021","EQ","72.25","73.25","71.15","72.20","71.20","71.45","72.05","84.90","28.65",109284,"7,873,528.70",1188
"28-Jan-2021","EQ","70.80","72.60","70.70","72.00","72.10","72.20","71.78","84.90","28.65",156313,"11,219,781.00",1858
"27-Jan-2021","EQ","72.65","73.00","70.70","73.20","72.20","72.00","71.71","84.90","28.65",255768,"18,340,308.10",3572
"25-Jan-2021","EQ","73.00","73.95","72.50","72.75","72.60","73.20","73.35","84.90","28.65",504344,"36,996,014.95",5197
"22-Jan-2021","EQ","71.65","73.65","71.05","71.65","73.00","72.75","72.06","84.90","28.65",578081,"41,656,072.40",3032
"21-Jan-2021","EQ","71.90","73.30","71.35","71.75","71.70","71.65","72.37","84.90","28.65",398938,"28,869,419.00",8708
"20-Jan-2021","EQ","71.90","72.70","71.00","71.50","71.80","71.75","71.90","84.90","28.65",243707,"17,522,767.80",1982
"19-Jan-2021","EQ","71.95","72.60","71.25","71.25","71.25","71.50","71.83","84.90","28.65",201464,"14,472,033.75",1467
"18-Jan-2021","EQ","73.20","73.85","70.40","74.20","71.20","71.25","71.75","84.90","28.65",341423,"24,497,138.55",2379
"15-Jan-2021","EQ","75.40","76.25","74.05","75.00","74.35","74.20","75.09","88.45","28.65",450729,"33,843,997.60",3209
"14-Jan-2021","EQ","73.45","75.30","72.90","73.05","74.60","75.00","74.77","88.45","28.65",741966,"55,475,074.40",3631
"13-Jan-2021","EQ","72.50","75.60","72.50","72.40","73.40","73.05","74.29","88.45","28.65",1042011,"77,413,945.95",7019
"12-Jan-2021","EQ","72.70","73.40","72.20","72.70","72.25","72.40","72.78","88.45","28.65",359046,"26,131,909.35",2279
"11-Jan-2021","EQ","72.70","73.00","71.50","72.00","72.85","72.70","72.32","88.45","28.65",423838,"30,652,199.45",3041
"08-Jan-2021","EQ","72.85","72.90","71.80","72.00","72.15","72.00","72.37","88.45","28.65",287899,"20,834,306.15",1826
"07-Jan-2021","EQ","72.50","73.50","71.40","72.30","71.90","72.00","72.37","88.45","28.65",334819,"24,229,587.05",1976
"06-Jan-2021","EQ","72.85","74.50","71.30","72.40","72.50","72.30","72.69","88.45","28.65",832603,"60,526,047.20",5011
"05-Jan-2021","EQ","71.90","72.90","71.30","72.05","72.20","72.40","72.07","88.45","28.65",341680,"24,623,446.60",2199
