"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"25-Jan-2021","EQ","321.00","322.25","308.00","319.20","313.95","314.35","314.74","368.90","231.95",1001146,"315,099,122.65",13096
"22-Jan-2021","EQ","327.00","328.75","316.60","327.00","318.65","319.20","322.40","368.90","231.95",871155,"280,858,265.70",12080
"21-Jan-2021","EQ","335.60","338.35","326.10","333.55","327.50","327.00","332.32","368.90","231.95",1803090,"599,207,389.45",18495
"20-Jan-2021","EQ","341.80","343.70","331.55","339.10","334.00","333.55","335.93","368.90","231.95",2093618,"703,302,175.40",27343
"19-Jan-2021","EQ","328.60","341.00","327.60","327.50","340.25","339.10","332.92","368.90","231.95",2541204,"846,007,144.10",18480
"18-Jan-2021","EQ","334.00","340.00","325.00","332.05","325.40","327.50","329.61","368.90","231.95",1095184,"360,979,695.35",13165
"15-Jan-2021","EQ","334.00","343.80","329.95","333.00","331.65","332.05","338.13","368.90","231.95",3509396,"1,186,647,551.10",41877
"14-Jan-2021","EQ","331.10","335.35","327.70","331.10","333.60","333.00","331.53","368.90","231.95",976978,"323,899,102.00",20428
"13-Jan-2021","EQ","336.00","340.20","326.65","337.45","330.50","331.10","332.93","368.90","231.95",1358744,"452,373,109.30",19463
"12-Jan-2021","EQ","334.00","340.90","330.80","334.55","337.15","337.45","336.77","368.90","231.95",1138957,"383,566,326.15",11999
"11-Jan-2021","EQ","339.40","341.85","332.00","335.95","334.00","334.55","336.13","368.90","231.95",1378351,"463,299,972.25",22090
"08-Jan-2021","EQ","336.00","348.75","333.60","332.05","335.40","335.95","340.24","368.90","231.95",4637625,"1,577,897,576.65",51676
"07-Jan-2021","EQ","332.00","334.95","330.65","330.10","332.70","332.05","333.04","368.90","231.95",1326330,"441,724,275.50",13844
"06-Jan-2021","EQ","321.00","333.80","320.55","320.55","330.45","330.10","330.00","368.90","231.95",2667351,"880,237,368.40",29120
"05-Jan-2021","EQ","319.50","321.80","316.80","320.00","321.10","320.55","319.33","368.90","231.95",848595,"270,980,454.45",8446
